gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,gene_id_clean,contrast,gene_name_gtf,gene_type,gene_name_final,regulation_strict
ENSMUSG00000138567.1,Gm42151,4.748115495421587,1.4506168929304766,0.8014938967907719,1.8098913775124563,0.07031263354145889,0.11340446187462536,NO,ENSMUSG00000138567,Lac_8h_vs_M1_8h,Gm42151,lncRNA,Gm42151,NS
ENSMUSG00000034949.19,NA,20.039302704010716,0.6791268236705845,0.375390836410099,1.809119343895402,0.07043246448828967,0.11358695979970168,NO,ENSMUSG00000034949,Lac_8h_vs_M1_8h,Zfr2,protein_coding,Zfr2,NS
ENSMUSG00000038069.7,Cdkn2aip,267.16743572810424,0.1472105500542774,0.08139022040942383,1.8087007175278829,0.07049751146400232,0.11368108097447596,NO,ENSMUSG00000038069,Lac_8h_vs_M1_8h,Cdkn2aip,protein_coding,Cdkn2aip,NS
ENSMUSG00000041180.14,NA,19.311640782674704,0.4863758374266113,0.26904027969085903,1.8078179147950704,0.07063484459863294,0.11389173862182154,NO,ENSMUSG00000041180,Lac_8h_vs_M1_8h,Hectd2,protein_coding,Hectd2,NS
ENSMUSG00000029146.15,NA,4814.232917842122,0.08604906489341929,0.04760256012868085,1.807656240773785,0.07066001916144124,0.11392152880730658,NO,ENSMUSG00000029146,Lac_8h_vs_M1_8h,Snx17,protein_coding,Snx17,NS
ENSMUSG00000087277.3,2010013B24Rik,4.937925619058724,-2.111708344238517,1.1686462105244353,-1.806969744325683,0.0707669967774729,0.11408318771425768,NO,ENSMUSG00000087277,Lac_8h_vs_M1_8h,2010013B24Rik,lncRNA,2010013B24Rik,NS
ENSMUSG00000036323.15,NA,4571.809513398732,0.1272962540644208,0.07046484889091238,1.8065213516811751,0.07083694205704227,0.11418512195469772,NO,ENSMUSG00000036323,Lac_8h_vs_M1_8h,Srp72,protein_coding,Srp72,NS
ENSMUSG00000110537.3,Gm4316,105.551668709064,0.2353063331302821,0.13028570660619926,1.8060794177638957,0.0709059352942511,0.11428550238025156,NO,ENSMUSG00000110537,Lac_8h_vs_M1_8h,Gm4316,lncRNA,Gm4316,NS
ENSMUSG00000009876.14,NA,11.78413351472315,-0.6669044655972254,0.36930463555397686,-1.8058383280156576,0.07094359663752489,0.1143353681214697,NO,ENSMUSG00000009876,Lac_8h_vs_M1_8h,Cox4i2,protein_coding,Cox4i2,NS
ENSMUSG00000027835.12,NA,3282.919612333559,-0.18123635452798795,0.1003681850777836,-1.805715171471248,0.07096284161427742,0.11434473929156384,NO,ENSMUSG00000027835,Lac_8h_vs_M1_8h,Pdcd10,protein_coding,Pdcd10,NS
ENSMUSG00000007594.11,NA,6.5386611195278554,0.9474388630895286,0.5246890185661418,1.80571506085389,0.07096285890175025,0.11434473929156384,NO,ENSMUSG00000007594,Lac_8h_vs_M1_8h,Hapln4,protein_coding,Hapln4,NS
