gene_symbol,gene_id,gene_id_clean,gene_type,baseMean,log2FoldChange,padj,regulation,abs_log2FC,rank_score
Qsox2,ENSMUSG00000036327.19,ENSMUSG00000036327,protein_coding,474.9397372759768,-0.8045713169825515,8.383310587119183e-15,DOWN,0.8045713169825515,11.325616084472388
Fut4,ENSMUSG00000049307.7,ENSMUSG00000049307,protein_coding,125.7506540504424,-1.192264984450127,8.474916725690446e-15,DOWN,1.192264984450127,16.777391381373185
Zfp969,ENSMUSG00000095545.9,ENSMUSG00000095545,protein_coding,530.2823876975824,-0.6760891561266805,9.598758230942623e-15,DOWN,0.6760891561266805,9.477272395579108
Inka2,ENSMUSG00000048458.9,ENSMUSG00000048458,protein_coding,63.03740802907939,-1.611760433940709,1.0123964936281622e-14,DOWN,1.611760433940709,22.556022137672446
Bmyc,ENSMUSG00000049086.9,ENSMUSG00000049086,protein_coding,98.07794175818894,-1.5547222203970217,1.0638697990456916e-14,DOWN,1.5547222203970217,21.724306967626987
BC005537,ENSMUSG00000019132.12,ENSMUSG00000019132,protein_coding,13762.995785487605,-0.7169551499758009,1.0912373271475548e-14,DOWN,0.7169551499758009,10.010185724505716
Il21r,ENSMUSG00000030745.10,ENSMUSG00000030745,protein_coding,3628.5109826841626,-0.5631912931122859,1.1719622790035052e-14,DOWN,0.5631912931122859,7.845866545138334
mt-Nd3,ENSMUSG00000064360.1,ENSMUSG00000064360,protein_coding,3110.5458559021527,-1.8134235523154831,1.3851610837364488e-14,DOWN,1.8134235523154831,25.13132978929577
Tbc1d4,ENSMUSG00000033083.17,ENSMUSG00000033083,protein_coding,123.90660898289885,-1.5608052655408302,1.4210312408776268e-14,DOWN,1.5608052655408302,21.613089174811236
Shmt2,ENSMUSG00000025403.6,ENSMUSG00000025403,protein_coding,1165.8011807807618,-0.7132314202916582,1.7456644516313098e-14,DOWN,0.7132314202916582,9.81266586178539
Zfp968,ENSMUSG00000078898.11,ENSMUSG00000078898,protein_coding,538.7987323961052,-0.6528745145830714,1.7456644516313098e-14,DOWN,0.6528745145830714,8.982273185131495
Msh2,ENSMUSG00000024151.14,ENSMUSG00000024151,protein_coding,207.33363794025513,-0.9165504805013912,2.306167861751543e-14,DOWN,0.9165504805013912,12.499098883945464
Fpgs,ENSMUSG00000009566.13,ENSMUSG00000009566,protein_coding,132.24817377546483,-1.3012601215511133,3.3139985085233765e-14,DOWN,1.3012601215511133,17.540527993341417
Pdia5,ENSMUSG00000022844.9,ENSMUSG00000022844,protein_coding,235.81019186540323,-0.9499068747904648,4.1940629411701467e-14,DOWN,0.9499068747904648,12.707251033537014
Lrp11,ENSMUSG00000019796.13,ENSMUSG00000019796,protein_coding,304.4638425578104,-1.0897431875414538,5.575968144554482e-14,DOWN,1.0897431875414538,14.443107180392003
Nat10,ENSMUSG00000027185.16,ENSMUSG00000027185,protein_coding,309.7904839355608,-0.8916890604058705,5.6470202709504925e-14,DOWN,0.8916890604058705,11.813257758815455
Syp,ENSMUSG00000031144.16,ENSMUSG00000031144,protein_coding,119.1729166285833,-1.195620064198731,6.550279161623304e-14,DOWN,1.195620064198731,15.76274429322059
Dsel,ENSMUSG00000038702.7,ENSMUSG00000038702,protein_coding,268.1105977643212,-1.24157955283665,8.96339273531703e-14,DOWN,1.24157955283665,16.19954345137383
Fam98b,ENSMUSG00000027349.6,ENSMUSG00000027349,protein_coding,1001.1359872825548,-0.6698749654802806,9.015490992056385e-14,DOWN,0.6698749654802806,8.738526036226617
Poglut3,ENSMUSG00000034487.5,ENSMUSG00000034487,protein_coding,483.4749352337151,-0.6674162729978628,9.457868310132555e-14,DOWN,0.6674162729978628,8.69256751938004
Aldh1l1,ENSMUSG00000030088.16,ENSMUSG00000030088,protein_coding,918.4876187338776,-0.5906011729827328,9.536639483466233e-14,DOWN,0.5906011729827328,7.689984370271435
Lifr,ENSMUSG00000054263.13,ENSMUSG00000054263,protein_coding,233.4808248646376,-1.4403091258860241,1.3322798068737385e-13,DOWN,1.4403091258860241,18.544562679436634
Klhl42,ENSMUSG00000040102.11,ENSMUSG00000040102,protein_coding,165.07135904359745,-1.084960213748354,1.4229700461896737e-13,DOWN,1.084960213748354,13.938271476174304
Hmgn2-ps,ENSMUSG00000070713.6,ENSMUSG00000070713,protein_coding,1225.7295093190476,-0.7804979925769434,1.4886348622485345e-13,DOWN,0.7804979925769434,10.011613071583696
Hdac10,ENSMUSG00000062906.13,ENSMUSG00000062906,protein_coding,226.98627259001697,-0.8715882123321389,1.6307986672272845e-13,DOWN,0.8715882123321389,11.14552112083438
Tafazzin,ENSMUSG00000009995.18,ENSMUSG00000009995,protein_coding,790.9526063650991,-0.6638293199959457,1.7948092085201561e-13,DOWN,0.6638293199959457,8.461156371843805
