gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,gene_id_clean,gene_name_gtf,gene_type,gene_symbol,regulation_strict,abs_log2FC,rank_score
ENSMUSG00000048307.9,Ankrd46,793.3234900725934,-0.8282722824443705,0.07539561836958462,-10.985681931597554,4.478435262874231e-28,9.826629795222458e-26,DOWN,ENSMUSG00000048307,Ankrd46,protein_coding,Ankrd46,DOWN,0.8282722824443705,20.71309812461738
ENSMUSG00000000561.15,NA,313.47680507448445,-1.2655599345563966,0.11596082350255488,-10.913685297591158,9.915348932797689e-28,2.147381283160186e-25,DOWN,ENSMUSG00000000561,Wdr77,protein_coding,Wdr77,DOWN,1.2655599345563966,31.21894742476592
ENSMUSG00000050022.17,NA,100.31542437360474,1.5565601596450778,0.1426500509647503,10.911739246624688,1.0129947143376051e-27,2.165730750806911e-25,UP,ENSMUSG00000050022,Amz1,protein_coding,Amz1,UP,1.5565601596450778,38.39161545455496
ENSMUSG00000019850.12,NA,10551.722169706129,0.95236621338263,0.08729730399318507,10.909457335096825,1.0387455664298182e-27,2.192673552630842e-25,UP,ENSMUSG00000019850,Tnfaip3,protein_coding,Tnfaip3,UP,0.95236621338263,23.484423237984682
ENSMUSG00000024525.8,Impa2,977.812117069318,1.0881516484068603,0.10034921297641176,10.8436490544539,2.1377060927826907e-27,4.456048350405518e-25,UP,ENSMUSG00000024525,Impa2,protein_coding,Impa2,UP,1.0881516484068603,26.49763531272844
ENSMUSG00000030695.17,NA,133064.79506543343,0.7280168291289739,0.06764163793626787,10.762850388320183,5.1550542670747586e-27,1.0613047525646749e-24,UP,ENSMUSG00000030695,Aldoa,protein_coding,Aldoa,UP,0.7280168291289739,17.453591864860883
ENSMUSG00000001663.11,NA,489.4719631738528,0.9092301578363416,0.08494097432700017,10.704258634190458,9.720560644175011e-27,1.9768301134422254e-24,UP,ENSMUSG00000001663,Gstt1,protein_coding,Gstt1,UP,0.9092301578363416,21.552419530950203
ENSMUSG00000142744.1,ENSMUSG00000142744,34.56054621574009,3.215521319444965,0.30166656263337255,10.65919037023973,1.5796657467702822e-26,3.1737959027880992e-24,UP,ENSMUSG00000142744,ENSMUSG00000142744,lncRNA,ENSMUSG00000142744,UP,3.215521319444965,75.55967371438005
ENSMUSG00000029570.6,Lfng,1787.266753442177,-0.6626092806843736,0.06218702217026824,-10.655105479566904,1.6505744621778588e-26,3.2767833013426156e-24,DOWN,ENSMUSG00000029570,Lfng,protein_coding,Lfng,DOWN,0.6626092806843736,15.561082292267123
ENSMUSG00000047777.10,NA,812.5453068103419,0.6785705076443251,0.06371980687791329,10.649286946905876,1.757057503984179e-26,3.4471401101694316e-24,UP,ENSMUSG00000047777,Phf13,protein_coding,Phf13,UP,0.6785705076443251,15.920988400551868
