gene_symbol,gene_id,gene_id_clean,gene_type,baseMean,log2FoldChange,padj,regulation,abs_log2FC,rank_score
Dgka,ENSMUSG00000025357.9,ENSMUSG00000025357,protein_coding,839.1719535794106,0.7901296440888609,3.7691164626568535e-19,UP,0.7901296440888609,14.557159281601338
Tollip,ENSMUSG00000025139.15,ENSMUSG00000025139,protein_coding,4474.468345970629,0.5070913310472902,3.954287804600654e-19,UP,0.5070913310472902,9.331967143426594
Fxyd2,ENSMUSG00000059412.8,ENSMUSG00000059412,protein_coding,81.93144395874549,2.197874815216891,4.879820700676653e-19,UP,2.197874815216891,40.24659597152327
Il12b,ENSMUSG00000004296.15,ENSMUSG00000004296,protein_coding,2285.4109241521205,1.5190487902833645,1.039011597928839e-18,UP,1.5190487902833645,27.317631033603853
Zfand2a,ENSMUSG00000053581.14,ENSMUSG00000053581,protein_coding,2941.511186341032,0.5850184922361623,1.26605934223907e-18,UP,0.5850184922361623,10.470395339235942
Cxcl1,ENSMUSG00000029380.12,ENSMUSG00000029380,protein_coding,630.8992268891492,1.7388630531441749,1.92693364468361e-18,UP,1.7388630531441749,30.804190673124317
Lrrc42,ENSMUSG00000028617.11,ENSMUSG00000028617,protein_coding,1133.550346146628,0.6381668588082621,2.0341867967899244e-18,UP,0.6381668588082621,11.290198650562104
Rasgef1b,ENSMUSG00000089809.10,ENSMUSG00000089809,protein_coding,2032.236109428575,0.9087239349577844,2.0523156095478127e-18,UP,0.9087239349577844,16.073287098108114
Rab37,ENSMUSG00000020732.14,ENSMUSG00000020732,protein_coding,69.9083827785595,1.360270179473705,2.5111073743292515e-18,UP,1.360270179473705,23.940938409664046
Rgs1,ENSMUSG00000026358.14,ENSMUSG00000026358,protein_coding,1332.9087462403943,1.4683755272091907,2.8156720451942486e-18,UP,1.4683755272091907,25.770604182088814
Tal2,ENSMUSG00000028417.4,ENSMUSG00000028417,protein_coding,42.63160815829957,2.030158469014362,3.1695653423956976e-18,UP,2.030158469014362,35.5257436391885
Zfp263,ENSMUSG00000022529.12,ENSMUSG00000022529,protein_coding,2370.0512792213244,0.5189116428427626,3.1695653423956976e-18,UP,0.5189116428427626,9.080434988886433
Rnf19b,ENSMUSG00000028793.16,ENSMUSG00000028793,protein_coding,8179.4099991257,0.6308142882822699,3.2921969479648238e-18,UP,0.6308142882822699,11.02821974743218
Slc6a13,ENSMUSG00000030108.15,ENSMUSG00000030108,protein_coding,75.33519395236465,1.4442313723353912,3.494204386318575e-18,UP,1.4442313723353912,25.211444034493717
Pstpip2,ENSMUSG00000025429.10,ENSMUSG00000025429,protein_coding,2224.548779487071,0.7524072219165225,3.741257809826859e-18,UP,0.7524072219165225,13.112187386559487
Arg2,ENSMUSG00000021125.7,ENSMUSG00000021125,protein_coding,208.86247750804057,1.5211335047067962,4.1077055394723315e-18,UP,1.5211335047067962,26.447036625433764
Ankrd37,ENSMUSG00000050914.17,ENSMUSG00000050914,protein_coding,1976.3020617737536,1.3392037060632005,4.8514366454695895e-18,UP,1.3392037060632005,23.187146575339632
Dusp5,ENSMUSG00000034765.7,ENSMUSG00000034765,protein_coding,460.7193366801768,1.0341821850331894,6.093213588411985e-18,UP,1.0341821850331894,17.803605163734712
Tubb6,ENSMUSG00000001473.8,ENSMUSG00000001473,protein_coding,6203.561012491326,0.6322609974960137,7.072387760825696e-18,UP,0.6322609974960137,10.843550467923693
Il15,ENSMUSG00000031712.11,ENSMUSG00000031712,protein_coding,2677.8148995275337,0.9034168809895704,7.791171549816249e-18,UP,0.9034168809895704,15.456014867001766
Gpi1,ENSMUSG00000036427.6,ENSMUSG00000036427,protein_coding,47916.60122144611,0.6303976825372246,9.259662568695845e-18,UP,0.6303976825372246,10.737818936319854
Parp6,ENSMUSG00000025237.17,ENSMUSG00000025237,protein_coding,545.0315246216472,0.6762127963281761,1.038014396453045e-17,UP,0.6762127963281761,11.484660606788207
Stard7,ENSMUSG00000027367.17,ENSMUSG00000027367,protein_coding,5093.658890619346,0.5366805565186739,1.0499610989396383e-17,UP,0.5366805565186739,9.112206211358584
Ppm1j,ENSMUSG00000002228.8,ENSMUSG00000002228,protein_coding,76.16384671285948,1.393762721258726,1.517326409531587e-17,UP,1.393762721258726,23.441585078017145
Sgk1,ENSMUSG00000019970.16,ENSMUSG00000019970,protein_coding,1494.9033954376152,0.7871340931206742,3.869743296353083e-17,UP,0.7871340931206742,12.918694921691998
Ifitm6,ENSMUSG00000059108.5,ENSMUSG00000059108,protein_coding,3938.184297818342,1.014227476118185,4.161315209657953e-17,UP,1.014227476118185,16.61382639143407
Pdlim7,ENSMUSG00000021493.16,ENSMUSG00000021493,protein_coding,635.4028997271807,0.9554045991926432,4.276038587201306e-17,UP,0.9554045991926432,15.638978124399921
P2ry2,ENSMUSG00000032860.6,ENSMUSG00000032860,protein_coding,1652.2139909135617,0.6849313181797808,4.513966145974289e-17,UP,0.6849313181797808,11.195504931445557
Sh2b2,ENSMUSG00000005057.14,ENSMUSG00000005057,protein_coding,654.3536925901267,1.1314582392494792,1.0977904671130551e-16,UP,1.1314582392494792,18.057485756581244
Slc35e4,ENSMUSG00000048807.3,ENSMUSG00000048807,protein_coding,1360.5631866374536,0.7258064205758945,1.4009465097352254e-16,UP,0.7258064205758945,11.50662902551552
Il15ra,ENSMUSG00000023206.17,ENSMUSG00000023206,protein_coding,623.3451905497013,0.8595528424016569,1.4795805096942288e-16,UP,0.8595528424016569,13.60660235966344
Ticam1,ENSMUSG00000047123.9,ENSMUSG00000047123,protein_coding,2194.7450890170426,0.8340266163363362,1.662563133766212e-16,UP,0.8340266163363362,13.160291011244587
Slc25a25,ENSMUSG00000026819.16,ENSMUSG00000026819,protein_coding,787.2987457284789,0.7328138102303142,1.8205603924370558e-16,UP,0.7328138102303142,11.53433908015422
Cd72,ENSMUSG00000028459.12,ENSMUSG00000028459,protein_coding,8660.687980073859,0.647688514335402,1.8205603924370558e-16,UP,0.647688514335402,10.194484381125296
Fuca1,ENSMUSG00000028673.11,ENSMUSG00000028673,protein_coding,8276.892126809787,0.5334585541157126,1.865490247106327e-16,UP,0.5334585541157126,8.390880032747308
Ets1,ENSMUSG00000032035.17,ENSMUSG00000032035,protein_coding,272.75265935669944,1.1507308864403225,2.0193326335365502e-16,UP,1.1507308864403225,18.060482067417006
Il1b,ENSMUSG00000027398.14,ENSMUSG00000027398,protein_coding,43216.81627437193,1.972802173955416,2.136148999250002e-16,UP,1.972802173955416,30.914536960557573
Vegfa,ENSMUSG00000023951.19,ENSMUSG00000023951,protein_coding,3717.862352374108,0.911228076273248,2.640758003627784e-16,UP,0.911228076273248,14.195358275177524
Tst,ENSMUSG00000044986.11,ENSMUSG00000044986,protein_coding,140.26583201125283,1.0673988678841522,2.9610225145915494e-16,UP,1.0673988678841522,16.575165539017252
Tgm1,ENSMUSG00000022218.17,ENSMUSG00000022218,protein_coding,374.7716375935675,1.13856085314031,4.833718617586747e-16,UP,1.13856085314031,17.4378776749775
Tnfsf9,ENSMUSG00000035678.9,ENSMUSG00000035678,protein_coding,1229.6651636031686,0.7568856128336796,4.97705711321073e-16,UP,0.7568856128336796,11.582641253368138
Pgk1,ENSMUSG00000062070.13,ENSMUSG00000062070,protein_coding,129798.6219119828,0.5607351939303684,6.667470791605128e-16,UP,0.5607351939303684,8.5097391034405
Il27,ENSMUSG00000044701.6,ENSMUSG00000044701,protein_coding,1873.000291488644,1.0106448646848658,7.606166201917682e-16,UP,1.0106448646848658,15.27977213321165
Pip5k1a,ENSMUSG00000028126.17,ENSMUSG00000028126,protein_coding,1805.133008910023,0.532562116815209,7.623375777925051e-16,UP,0.532562116815209,8.051195620748297
Sp140,ENSMUSG00000070031.12,ENSMUSG00000070031,protein_coding,9368.35167210718,0.7415719479760791,7.926360212008844e-16,UP,0.7415719479760791,11.19842325475742
Traf1,ENSMUSG00000026875.15,ENSMUSG00000026875,protein_coding,7034.404699874116,0.6496071685713446,8.521407726647981e-16,UP,0.6496071685713446,9.789247856578836
Egln3,ENSMUSG00000035105.6,ENSMUSG00000035105,protein_coding,3476.2617679811237,1.1563397318803832,9.46713913043807e-16,UP,1.1563397318803832,17.37259517133235
Traf6,ENSMUSG00000027164.9,ENSMUSG00000027164,protein_coding,1466.5537004312162,0.8031890632773954,1.5721112091056917e-15,UP,0.8031890632773954,11.890022740224154
Ppp1r15a,ENSMUSG00000040435.13,ENSMUSG00000040435,protein_coding,2771.0779243399634,1.0861480086395174,1.690610133849041e-15,UP,1.0861480086395174,16.04453117105664
Cln8,ENSMUSG00000026317.8,ENSMUSG00000026317,protein_coding,5680.677668611372,0.5737684385031951,1.870015096081597e-15,UP,0.5737684385031951,8.450550431844286
Pdpn,ENSMUSG00000028583.15,ENSMUSG00000028583,protein_coding,1579.798435395778,0.8109027952738874,2.0952327758174897e-15,UP,0.8109027952738874,11.903053776007056
Spic,ENSMUSG00000004359.17,ENSMUSG00000004359,protein_coding,207.00743908713525,1.0814201320567285,2.3437208008156096e-15,UP,1.0814201320567285,15.821278321244877
Ero1a,ENSMUSG00000021831.10,ENSMUSG00000021831,protein_coding,13944.32236712847,0.8350181273750038,2.5458489894078514e-15,UP,0.8350181273750038,12.186394300131417
Sgms1,ENSMUSG00000040451.19,ENSMUSG00000040451,protein_coding,2014.0583273214136,0.5188466578607378,3.4961472732577825e-15,UP,0.5188466578607378,7.500660159084464
Pfkfb3,ENSMUSG00000026773.20,ENSMUSG00000026773,protein_coding,10050.104783619296,0.8173734282215168,3.825075834816565e-15,UP,0.8173734282215168,11.78436692842448
Cd274,ENSMUSG00000016496.8,ENSMUSG00000016496,protein_coding,13077.235920419636,1.0295910992628146,3.9676820234843705e-15,UP,1.0295910992628146,14.827618265503334
Rab20,ENSMUSG00000031504.7,ENSMUSG00000031504,protein_coding,3420.8720269420255,0.6534818119716697,4.1340925221799205e-15,UP,0.6534818119716697,9.399433934820257
Mturn,ENSMUSG00000038065.14,ENSMUSG00000038065,protein_coding,94.05800509529358,1.446528611219839,5.4146737412296955e-15,UP,1.446528611219839,20.63679585731139
Tgif1,ENSMUSG00000047407.18,ENSMUSG00000047407,protein_coding,2178.5084173775845,0.5321124064478695,6.242836588671019e-15,UP,0.5321124064478695,7.558453484175973
Tgm2,ENSMUSG00000037820.16,ENSMUSG00000037820,protein_coding,8806.66820207402,0.9276576480138276,6.976989050852242e-15,UP,0.9276576480138276,13.132229609188673
Cd83,ENSMUSG00000015396.5,ENSMUSG00000015396,protein_coding,1060.583285102217,1.353962928897305,7.526783638725528e-15,UP,1.353962928897305,19.12254725914581
Stx11,ENSMUSG00000039232.13,ENSMUSG00000039232,protein_coding,1656.901072482793,0.6407054059738372,7.575031482881726e-15,UP,0.6407054059738372,9.04715472358238
Ndel1,ENSMUSG00000018736.15,ENSMUSG00000018736,protein_coding,4000.5164748312577,0.5419253658314637,8.087934527144129e-15,UP,0.5419253658314637,7.636900249383292
Bsg,ENSMUSG00000023175.16,ENSMUSG00000023175,protein_coding,22797.19935671379,0.6036903278952893,1.2658449151006968e-14,UP,0.6036903278952893,8.389858472084052
Card19,ENSMUSG00000037960.12,ENSMUSG00000037960,protein_coding,9890.195654493424,0.7642169215141923,1.3924088060909826e-14,UP,0.7642169215141923,10.589167909496735
